deviceId,x,y,z,recordTime
1,0,0,0,2024-08-16T08:14:20.421Z
1,0,0,0,2024-08-16T08:14:20.421Z
1,0,0,0,2024-08-16T08:14:20.421Z
1,0,0,0,2024-08-16T08:14:20.431Z
1,0,0,0,2024-08-16T08:14:20.472Z
1,0,0,0,2024-08-16T08:14:20.472Z
1,0,0,0,2024-08-16T08:14:20.476Z
1,0,0,0,2024-08-16T08:14:20.478Z
1,0,0,0,2024-08-16T08:14:20.481Z
1,0,0,0,2024-08-16T08:14:20.532Z
1,0,0,0,2024-08-16T08:14:20.532Z
1,0,0,0,2024-08-16T08:14:20.552Z
1,0,0,0,2024-08-16T08:14:20.562Z
1,0,0,0,2024-08-16T08:14:20.582Z
1,0,0,0,2024-08-16T08:14:20.582Z
1,0,0,0,2024-08-16T08:14:20.592Z
1,0,0,0,2024-08-16T08:14:20.602Z
1,0,0,0,2024-08-16T08:14:20.612Z
1,0,0,0,2024-08-16T08:14:20.622Z
1,0,0,0,2024-08-16T08:14:20.632Z
1,0,0,0,2024-08-16T08:14:20.652Z
1,0,0,0,2024-08-16T08:14:20.652Z
1,0,0,0,2024-08-16T08:14:20.667Z
1,0,0,0,2024-08-16T08:14:20.676Z
1,0,0,0,2024-08-16T08:14:20.685Z
1,0,0,0,2024-08-16T08:14:20.695Z
1,0,0,0,2024-08-16T08:14:20.705Z
1,0,0,0,2024-08-16T08:14:20.715Z
1,0,0,0,2024-08-16T08:14:20.725Z
1,0,0,0,2024-08-16T08:14:20.735Z
1,0,0,0,2024-08-16T08:14:20.745Z
1,0,0,0,2024-08-16T08:14:20.755Z
1,0,0,0,2024-08-16T08:14:20.764Z
1,0,0,0,2024-08-16T08:14:20.775Z
1,0,0,0,2024-08-16T08:14:20.785Z
1,0,0,0,2024-08-16T08:14:20.795Z
1,0,0,0,2024-08-16T08:14:20.811Z
1,0,0,0,2024-08-16T08:14:20.818Z
1,0,0,0,2024-08-16T08:14:20.828Z
1,0,0,0,2024-08-16T08:14:20.838Z
1,0,0,0,2024-08-16T08:14:20.848Z
1,0,0,0,2024-08-16T08:14:20.858Z
1,0,0,0,2024-08-16T08:14:20.858Z
1,0,0,0,2024-08-16T08:14:20.878Z
1,0,0,0,2024-08-16T08:14:20.888Z
1,0,0,0,2024-08-16T08:14:20.926Z
1,0,0,0,2024-08-16T08:14:20.926Z
1,0,0,0,2024-08-16T08:14:20.945Z
1,0,0,0,2024-08-16T08:14:20.959Z
1,0,0,0,2024-08-16T08:14:20.968Z
1,0,0,0,2024-08-16T08:14:20.978Z
1,0,0,0,2024-08-16T08:14:20.999Z
1,0,0,0,2024-08-16T08:14:20.999Z
1,0,0,0,2024-08-16T08:14:21.008Z
1,0,0,0,2024-08-16T08:14:21.018Z
1,0,0,0,2024-08-16T08:14:21.028Z
1,0,0,0,2024-08-16T08:14:21.038Z
1,0,0,0,2024-08-16T08:14:21.048Z
1,0,0,0,2024-08-16T08:14:21.058Z
1,0,0,0,2024-08-16T08:14:21.068Z
1,0,0,0,2024-08-16T08:14:21.078Z
1,0,0,0,2024-08-16T08:14:21.078Z
1,0,0,0,2024-08-16T08:14:21.088Z
1,0,0,0,2024-08-16T08:14:21.111Z
1,0,0,0,2024-08-16T08:14:21.111Z
1,0,0,0,2024-08-16T08:14:21.131Z
