deviceId,x,y,z,recordTime
1,16,40,980,2024-08-16T07:58:57.566Z
1,16,38,980,2024-08-16T07:58:57.568Z
1,16,41,979,2024-08-16T07:58:57.569Z
1,18,40,980,2024-08-16T07:58:57.570Z
1,16,39,981,2024-08-16T07:58:57.572Z
1,16,38,976,2024-08-16T07:58:57.580Z
1,18,40,980,2024-08-16T07:58:57.590Z
1,16,40,981,2024-08-16T07:58:57.600Z
1,17,38,980,2024-08-16T07:58:57.610Z
1,18,40,980,2024-08-16T07:58:57.627Z
1,17,40,981,2024-08-16T07:58:57.633Z
1,18,40,979,2024-08-16T07:58:57.642Z
1,16,39,982,2024-08-16T07:58:57.652Z
1,17,40,980,2024-08-16T07:58:57.672Z
1,17,39,981,2024-08-16T07:58:57.685Z
1,19,39,980,2024-08-16T07:58:57.692Z
1,17,38,979,2024-08-16T07:58:57.702Z
1,17,39,978,2024-08-16T07:58:57.712Z
1,15,41,979,2024-08-16T07:58:57.722Z
1,16,41,982,2024-08-16T07:58:57.732Z
1,16,41,980,2024-08-16T07:58:57.742Z
1,16,40,978,2024-08-16T07:58:57.752Z
1,16,39,980,2024-08-16T07:58:57.773Z
1,18,39,983,2024-08-16T07:58:57.777Z
1,15,39,979,2024-08-16T07:58:57.787Z
1,16,39,982,2024-08-16T07:58:57.797Z
1,19,39,978,2024-08-16T07:58:57.807Z
1,19,38,980,2024-08-16T07:58:57.816Z
1,16,37,977,2024-08-16T07:58:57.827Z
1,18,40,981,2024-08-16T07:58:57.837Z
1,18,40,981,2024-08-16T07:58:57.847Z
1,17,40,979,2024-08-16T07:58:57.857Z
1,18,41,981,2024-08-16T07:58:57.867Z
1,16,40,981,2024-08-16T07:58:57.877Z
1,18,41,978,2024-08-16T07:58:57.662Z
1,18,40,978,2024-08-16T07:58:57.887Z
1,17,39,978,2024-08-16T07:58:57.932Z
1,17,40,979,2024-08-16T07:58:57.938Z
1,17,40,981,2024-08-16T07:58:57.947Z
1,18,39,979,2024-08-16T07:58:57.957Z
1,16,39,982,2024-08-16T07:58:57.967Z
1,16,39,979,2024-08-16T07:58:57.977Z
1,16,38,979,2024-08-16T07:58:57.987Z
1,16,40,978,2024-08-16T07:58:57.997Z
1,19,39,980,2024-08-16T07:58:58.007Z
1,18,39,979,2024-08-16T07:58:58.017Z
1,18,38,979,2024-08-16T07:58:58.027Z
1,18,40,980,2024-08-16T07:58:58.037Z
1,18,40,980,2024-08-16T07:58:58.053Z
1,16,40,981,2024-08-16T07:58:58.060Z
1,18,40,978,2024-08-16T07:58:58.070Z
1,15,40,980,2024-08-16T07:58:58.080Z
1,16,40,978,2024-08-16T07:58:58.090Z
1,17,39,979,2024-08-16T07:58:58.100Z
1,18,40,980,2024-08-16T07:58:58.110Z
1,18,38,980,2024-08-16T07:58:58.120Z
1,17,37,979,2024-08-16T07:58:58.130Z
1,18,38,980,2024-08-16T07:58:58.140Z
