deviceId,yaw,pitch,roll,recordTime
1,12,6,4,2024-08-16T08:08:33.842Z
1,12,6,4,2024-08-16T08:08:33.851Z
1,11,6,4,2024-08-16T08:08:33.862Z
1,11,6,3,2024-08-16T08:08:33.872Z
1,11,5,3,2024-08-16T08:08:33.881Z
1,11,6,3,2024-08-16T08:08:33.892Z
1,11,6,3,2024-08-16T08:08:33.902Z
1,10,6,3,2024-08-16T08:08:33.912Z
1,10,6,2,2024-08-16T08:08:33.922Z
1,10,6,2,2024-08-16T08:08:33.932Z
1,10,6,1,2024-08-16T08:08:33.950Z
1,10,6,1,2024-08-16T08:08:33.956Z
1,9,7,1,2024-08-16T08:08:33.965Z
1,9,7,1,2024-08-16T08:08:33.976Z
1,9,7,1,2024-08-16T08:08:33.986Z
1,9,7,1,2024-08-16T08:08:33.996Z
1,9,8,1,2024-08-16T08:08:34.006Z
1,9,8,2,2024-08-16T08:08:34.016Z
1,9,8,1,2024-08-16T08:08:34.058Z
1,9,8,1,2024-08-16T08:08:34.063Z
1,9,8,1,2024-08-16T08:08:34.073Z
1,9,8,0,2024-08-16T08:08:34.088Z
1,9,8,1,2024-08-16T08:08:34.096Z
1,9,8,1,2024-08-16T08:08:34.105Z
1,9,8,1,2024-08-16T08:08:34.116Z
1,9,8,1,2024-08-16T08:08:34.126Z
1,9,8,1,2024-08-16T08:08:34.135Z
1,9,8,1,2024-08-16T08:08:34.145Z
1,9,8,1,2024-08-16T08:08:34.155Z
1,9,8,1,2024-08-16T08:08:34.165Z
1,9,8,1,2024-08-16T08:08:34.176Z
1,9,8,1,2024-08-16T08:08:34.185Z
1,9,8,1,2024-08-16T08:08:34.196Z
1,9,8,2,2024-08-16T08:08:34.205Z
1,9,8,2,2024-08-16T08:08:34.216Z
1,9,8,1,2024-08-16T08:08:34.230Z
1,9,8,1,2024-08-16T08:08:34.239Z
1,9,8,0,2024-08-16T08:08:34.248Z
1,9,8,0,2024-08-16T08:08:34.258Z
1,9,7,1,2024-08-16T08:08:34.270Z
1,9,8,1,2024-08-16T08:08:34.279Z
1,9,8,1,2024-08-16T08:08:34.288Z
1,9,8,1,2024-08-16T08:08:34.298Z
1,9,8,1,2024-08-16T08:08:34.309Z
1,9,8,1,2024-08-16T08:08:34.328Z
1,10,8,2,2024-08-16T08:08:34.338Z
1,10,8,2,2024-08-16T08:08:34.348Z
1,10,8,2,2024-08-16T08:08:34.359Z
1,10,8,2,2024-08-16T08:08:34.375Z
1,10,8,2,2024-08-16T08:08:34.382Z
1,10,8,2,2024-08-16T08:08:34.391Z
1,10,8,1,2024-08-16T08:08:34.401Z
1,10,8,1,2024-08-16T08:08:34.440Z
1,10,9,2,2024-08-16T08:08:34.449Z
1,10,9,1,2024-08-16T08:08:34.459Z
1,10,9,1,2024-08-16T08:08:34.469Z
1,9,9,1,2024-08-16T08:08:34.478Z
1,9,9,1,2024-08-16T08:08:34.488Z
1,9,9,0,2024-08-16T08:08:34.499Z
1,9,9,0,2024-08-16T08:08:34.518Z
1,9,9,0,2024-08-16T08:08:34.522Z
1,9,9,0,2024-08-16T08:08:34.532Z
1,9,9,0,2024-08-16T08:08:34.542Z
1,9,9,1,2024-08-16T08:08:34.552Z
1,9,10,1,2024-08-16T08:08:34.562Z
1,9,10,0,2024-08-16T08:08:34.572Z
1,10,10,1,2024-08-16T08:08:34.582Z
1,10,10,1,2024-08-16T08:08:34.592Z
1,10,10,1,2024-08-16T08:08:34.602Z
1,10,10,1,2024-08-16T08:08:34.612Z
1,10,10,2,2024-08-16T08:08:34.622Z
1,10,10,1,2024-08-16T08:08:34.631Z
1,10,10,1,2024-08-16T08:08:34.642Z
1,10,10,1,2024-08-16T08:08:34.652Z
1,10,10,1,2024-08-16T08:08:34.666Z
1,10,10,0,2024-08-16T08:08:34.676Z
1,10,10,0,2024-08-16T08:08:34.685Z
1,9,10,0,2024-08-16T08:08:34.696Z
1,9,10,0,2024-08-16T08:08:34.706Z
1,9,10,0,2024-08-16T08:08:34.716Z
1,9,10,0,2024-08-16T08:08:34.726Z
1,9,10,-1,2024-08-16T08:08:34.736Z
1,9,10,-1,2024-08-16T08:08:34.745Z
1,9,10,-2,2024-08-16T08:08:34.756Z
1,9,10,-1,2024-08-16T08:08:34.765Z
1,9,10,-1,2024-08-16T08:08:34.776Z
1,9,10,-1,2024-08-16T08:08:34.785Z
1,9,10,-1,2024-08-16T08:08:34.797Z
1,9,10,-1,2024-08-16T08:08:34.838Z
1,9,10,-2,2024-08-16T08:08:34.848Z
1,9,9,-2,2024-08-16T08:08:34.857Z
1,9,10,-2,2024-08-16T08:08:34.866Z
