deviceId,capacity,temperature,recordTime
1,100,32,2024-08-16T10:54:50.943Z
1,100,32,2024-08-16T10:54:51.949Z
1,100,32,2024-08-16T10:54:52.957Z
1,100,32,2024-08-16T10:54:53.953Z
1,100,32,2024-08-16T10:54:54.955Z
1,100,32,2024-08-16T10:54:55.987Z
1,100,32,2024-08-16T10:54:56.980Z
1,100,32,2024-08-16T10:54:57.984Z
1,100,32,2024-08-16T10:54:58.990Z
1,100,32,2024-08-16T10:54:59.999Z
1,100,32,2024-08-16T10:55:00.997Z
1,100,32,2024-08-16T10:55:02.002Z
1,100,32,2024-08-16T10:55:03.010Z
1,100,32,2024-08-16T10:55:04.012Z
1,100,32,2024-08-16T10:55:05.019Z
1,100,32,2024-08-16T10:55:06.023Z
1,100,32,2024-08-16T10:55:07.029Z
1,100,32,2024-08-16T10:55:08.033Z
1,100,32,2024-08-16T10:55:09.038Z
1,100,32,2024-08-16T10:55:10.040Z
1,100,32,2024-08-16T10:55:11.045Z
1,100,32,2024-08-16T10:55:12.046Z
1,100,32,2024-08-16T10:55:13.053Z
1,100,32,2024-08-16T10:55:14.056Z
1,100,32,2024-08-16T10:55:15.062Z
1,100,32,2024-08-16T10:55:16.066Z
1,100,32,2024-08-16T10:55:17.069Z
1,100,32,2024-08-16T10:55:20.110Z
1,100,32,2024-08-16T10:55:23.125Z
1,100,32,2024-08-16T10:55:24.132Z
1,100,32,2024-08-16T10:55:25.136Z
1,100,32,2024-08-16T10:55:26.141Z
1,100,32,2024-08-16T10:55:27.146Z
1,100,32,2024-08-16T10:55:28.154Z
1,100,32,2024-08-16T10:55:29.167Z
1,100,32,2024-08-16T10:55:30.162Z
1,100,32,2024-08-16T10:55:31.174Z
1,100,32,2024-08-16T10:55:32.179Z
1,100,32,2024-08-16T10:55:33.189Z
1,100,32,2024-08-16T10:55:34.196Z
1,100,32,2024-08-16T10:55:35.199Z
1,100,32,2024-08-16T10:55:36.194Z
1,100,32,2024-08-16T10:55:37.198Z
1,100,32,2024-08-16T10:55:38.205Z
1,100,32,2024-08-16T10:55:39.208Z
1,100,32,2024-08-16T10:55:40.252Z
1,100,32,2024-08-16T10:55:41.248Z
1,100,30,2024-08-16T11:21:52.909Z
1,100,30,2024-08-16T11:21:53.944Z
1,100,30,2024-08-16T11:21:54.941Z
1,100,30,2024-08-16T11:21:55.947Z
1,100,30,2024-08-16T11:21:56.952Z
1,100,30,2024-08-16T11:21:57.956Z
1,100,30,2024-08-16T11:21:58.963Z
1,100,30,2024-08-16T11:22:48.541Z
1,100,30,2024-08-16T11:22:49.544Z
1,100,30,2024-08-16T11:22:50.549Z
1,100,30,2024-08-16T11:22:51.553Z
1,100,31,2024-08-16T11:22:52.560Z
1,100,30,2024-08-16T11:22:53.564Z
1,100,30,2024-08-16T11:22:54.606Z
1,100,30,2024-08-16T11:22:55.604Z
1,100,30,2024-08-16T11:22:56.609Z
1,100,30,2024-08-16T11:22:57.615Z
1,100,30,2024-08-16T11:22:58.618Z
1,100,30,2024-08-16T11:23:00.626Z
1,100,30,2024-08-16T11:23:01.633Z
1,100,30,2024-08-16T11:23:02.638Z
1,100,30,2024-08-16T11:23:03.643Z
1,100,30,2024-08-16T11:23:04.648Z
1,100,30,2024-08-16T11:23:05.654Z
1,100,30,2024-08-16T11:23:06.658Z
1,100,30,2024-08-16T11:23:07.665Z
1,100,30,2024-08-16T11:23:08.670Z
1,100,30,2024-08-16T11:23:09.676Z
1,100,30,2024-08-16T11:23:10.685Z
1,100,30,2024-08-16T11:23:11.682Z
1,100,30,2024-08-16T11:23:12.684Z
1,100,30,2024-08-16T11:23:13.688Z
1,100,30,2024-08-16T11:23:14.691Z
1,100,30,2024-08-16T11:23:15.694Z
1,100,30,2024-08-16T11:23:16.697Z
1,100,30,2024-08-16T11:23:17.731Z
1,100,30,2024-08-16T11:23:18.729Z
1,100,30,2024-08-16T11:23:19.730Z
1,100,31,2024-08-16T11:23:20.734Z
1,100,30,2024-08-16T11:23:21.738Z
1,100,30,2024-08-16T11:23:22.744Z
1,100,30,2024-08-16T11:23:23.750Z
1,100,30,2024-08-16T11:25:43.438Z
1,100,30,2024-08-16T11:25:44.443Z
1,100,30,2024-08-16T11:25:45.449Z
1,100,30,2024-08-16T11:25:46.453Z
1,100,30,2024-08-16T11:25:47.461Z
1,100,30,2024-08-16T11:25:48.462Z
1,100,30,2024-08-16T11:25:49.469Z
1,100,30,2024-08-16T11:25:50.472Z
1,100,30,2024-08-16T11:25:51.476Z
1,100,30,2024-08-16T11:25:52.478Z
1,100,30,2024-08-16T11:25:53.483Z
1,100,30,2024-08-16T11:25:54.486Z
1,100,30,2024-08-16T11:25:55.489Z
1,100,30,2024-08-16T11:25:56.492Z
1,100,30,2024-08-16T11:25:57.499Z
1,100,30,2024-08-16T11:25:58.503Z
1,100,30,2024-08-16T11:26:00.509Z
1,100,30,2024-08-16T11:26:01.543Z
1,100,30,2024-08-16T11:26:02.537Z
1,100,30,2024-08-16T11:26:03.540Z
1,100,30,2024-08-16T11:26:04.545Z
1,100,30,2024-08-16T11:26:05.545Z
1,100,30,2024-08-16T11:26:06.551Z
1,100,30,2024-08-16T11:26:07.552Z
1,100,30,2024-08-16T11:26:08.557Z
1,100,30,2024-08-16T11:26:09.558Z
1,100,30,2024-08-16T11:26:10.564Z
1,100,30,2024-08-16T11:26:11.564Z
1,100,30,2024-08-16T11:26:12.569Z
1,100,30,2024-08-16T11:26:13.573Z
1,100,30,2024-08-16T11:26:14.581Z
1,100,30,2024-08-16T11:26:15.586Z
1,100,30,2024-08-16T11:26:16.591Z
1,100,30,2024-08-16T11:26:17.595Z
1,100,30,2024-08-16T11:26:18.599Z
1,100,30,2024-08-16T11:26:19.601Z
1,100,31,2024-08-16T11:26:20.609Z
1,100,30,2024-08-16T11:26:21.622Z
1,100,30,2024-08-16T11:26:22.646Z
1,100,30,2024-08-16T11:26:23.637Z
1,100,30,2024-08-16T11:26:24.643Z
1,100,30,2024-08-16T11:26:25.658Z
1,100,30,2024-08-16T11:26:26.663Z
